source,table,quantity,beam_type,chamber_geometry,ionization_chamber,TPR20_10,kQ,unit
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.56,1.0003,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.59,0.9992,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.62,0.9977,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.65,0.9955,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.68,0.9925,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.7,0.9898,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.72,0.9865,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.74,0.9823,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.76,0.9771,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.78,0.9706,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.8,0.9627,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2561/2611A,0.82,0.9528,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.56,1.0004,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.59,0.9991,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.62,0.9974,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.65,0.9951,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.68,0.9919,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.7,0.9891,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,NE 2571,0.72,0.9856,dimensionless
